timestamp,source_vehicle,message_id,event_type
373620631,406,1,send
373900154,406,2,send
374452260,406,3,send
374674352,406,4,send
374897182,406,5,send
375108300,406,6,send
375353047,406,7,send
375549413,406,8,send
375830557,406,9,send
376070078,406,10,send
376262333,406,11,send
376509399,406,12,send
376709814,406,13,send
376735874,406,14,send
376968971,406,15,send
377185383,406,16,send
377214289,406,17,send
377432946,406,18,send
377684017,406,19,send
377893946,406,20,send
378100010,406,21,send
378328892,406,22,send
378532137,406,23,send
378741698,406,24,send
378891249,406,25,send
379073332,406,26,send
379269711,406,27,send
379436574,406,28,send
379568077,406,29,send
379649821,406,30,send
379761620,406,31,send
379769857,406,32,send
379938564,406,33,send
380078078,406,34,send
380223622,406,35,send
380397119,406,36,send
380487125,406,37,send
380613930,406,38,send
380750448,406,39,send
380861812,406,40,send
380962633,406,41,send
381103322,406,42,send
381206433,406,43,send
