timestamp,source_vehicle,message_id,event_type
373530356,526,1,send
373809646,526,2,send
374027816,526,3,send
374252637,526,4,send
374472413,526,5,send
374718208,526,6,send
374964825,526,7,send
375204600,526,8,send
375433268,526,9,send
375672403,526,10,send
375926138,526,11,send
376170949,526,12,send
376356935,526,13,send
376406429,526,14,send
376649063,526,15,send
376855833,526,16,send
377120405,526,17,send
377310288,526,18,send
377543870,526,19,send
377754286,526,20,send
377965758,526,21,send
378205537,526,22,send
378425725,526,23,send
378434860,526,24,send
378640383,526,25,send
378833090,526,26,send
379026891,526,27,send
379243627,526,28,send
379452378,526,29,send
379595588,526,30,send
379776573,526,31,send
379915561,526,32,send
380105933,526,33,send
