receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
373384524,96,2,receive,373287418,97106
373384953,76,3,receive,373251724,133229
373385324,590,3,receive,373289408,95916
373385730,636,1,receive,373289341,96389
373386275,778,1,receive,373289648,96627
373387175,86,1,receive,373290793,96382
373387551,98,1,receive,373291041,96510
373387919,868,1,receive,373291114,96805
373388285,590,4,receive,373292667,95618
373388655,104,2,receive,373292892,95763
373389080,90,2,receive,373293038,96042
373389475,778,2,receive,373293094,96381
373389830,432,1,receive,373294811,95019
373786988,68,1,receive,373294917,492071
373787361,346,1,receive,373295462,491899
373787732,320,1,receive,373296620,491112
373788184,108,2,receive,373288603,499581
373788590,84,1,receive,373282609,505981
373789043,302,1,receive,373297189,491854
373789461,84,2,receive,373297268,492193
373789867,612,1,receive,373297315,492552
373790297,150,2,receive,373297382,492915
373790756,974,1,receive,373292613,498143
373791178,674,1,receive,373297959,493219
374067752,106,2,receive,373298141,769611
374068117,778,3,receive,373298369,769748
374068482,104,3,receive,373300144,768338
374068844,98,2,receive,373301015,767829
374069301,152,3,receive,373301213,768088
374069679,384,1,receive,373301901,767778
374070064,86,2,receive,373303095,766969
374070474,448,1,receive,373303372,767102
374070869,486,1,receive,373304542,766327
374071320,42,3,receive,373242320,829000
374071768,426,1,receive,373306585,765183
374072157,160,2,receive,373306687,765470
374072534,634,1,receive,373308105,764429
374359524,408,1,receive,373308867,1050657
374359990,870,1,receive,373309486,1050504
374360456,210,1,receive,373310039,1050417
374360919,26,4,receive,373245006,1115913
374361368,114,4,receive,373311673,1049695
374361835,64,3,receive,373282318,1079517
374362277,30,1,receive,373312619,1049658
374362734,196,4,receive,373313394,1049340
374363188,408,2,receive,373314436,1048752
374363657,974,2,receive,373314787,1048870
374592544,140,2,receive,373316070,1276474
374593035,104,4,receive,373316474,1276561
374593492,184,4,receive,373316662,1276830
374593989,166,1,receive,373316885,1277104
374594464,128,4,receive,373317077,1277387
374594919,790,1,receive,373318464,1276455
374595374,798,1,receive,373318566,1276808
374595850,50,1,receive,373318434,1277416
374596308,196,5,receive,373318774,1277534
374596777,54,1,receive,373318997,1277780
374829796,18,2,receive,373320016,1509780
374830257,202,3,receive,373294291,1535966
374830710,80,1,receive,373322157,1508553
374831100,86,3,receive,373322441,1508659
374831486,400,1,receive,373323456,1508030
374831937,122,1,receive,373296841,1535096
374832352,158,1,receive,373304081,1528271
374832763,230,2,receive,373326675,1506088
374833222,320,2,receive,373327062,1506160
374833675,98,3,receive,373323391,1510284
374834101,384,2,receive,373330017,1504084
375092425,252,1,receive,373331018,1761407
375092851,634,2,receive,373331441,1761410
375093258,632,1,receive,373332263,1760995
375093685,118,1,receive,373332253,1761432
375094184,6,4,receive,373278304,1815880
375094589,90,3,receive,373332855,1761734
375094983,818,1,receive,373332891,1762092
375095373,90,4,receive,373333221,1762152
375095768,400,2,receive,373333307,1762461
375096208,150,3,receive,373334297,1761911
375096674,44,5,receive,373273715,1822959
375312619,154,2,receive,373334689,1977930
375313856,486,2,receive,373334774,1979082
375315523,758,1,receive,373334743,1980780
375316162,182,3,receive,373296292,2019870
375555795,206,2,receive,373335639,2220156
375556229,972,1,receive,373336349,2219880
375556640,798,2,receive,373336605,2220035
375557051,728,1,receive,373337175,2219876
375557669,152,4,receive,373321810,2235859
375558063,58,4,receive,373280331,2277732
375558525,670,1,receive,373337448,2221077
375558940,132,1,receive,373337427,2221513
375559403,766,1,receive,373337608,2221795
375559810,84,3,receive,373324172,2235638
375560249,312,1,receive,373339142,2221107
375809196,312,2,receive,373339616,2469580
375809809,100,1,receive,373257727,2552082
375810472,96,3,receive,373340772,2469700
375810914,274,1,receive,373342284,2468630
375811446,204,1,receive,373342449,2468997
375811854,188,2,receive,373340656,2471198
375812352,426,2,receive,373343822,2468530
375812758,408,3,receive,373344177,2468581
375813208,338,1,receive,373344313,2468895
375813618,18,3,receive,373343300,2470318
376068781,12,5,receive,373315677,2753104
376069197,138,1,receive,373345262,2723935
376069631,626,1,receive,373345494,2724137
376070065,110,3,receive,373345744,2724321
376070494,590,5,receive,373345797,2724697
376070912,782,1,receive,373346124,2724788
376071366,160,3,receive,373346421,2724945
376071858,290,1,receive,373311159,2760699
376072263,964,1,receive,373346825,2725438
376072735,96,4,receive,373346856,2725879
376073191,432,2,receive,373347684,2725507
376290786,670,2,receive,373349026,2941760
376291231,632,2,receive,373350024,2941207
376291644,106,3,receive,373351343,2940301
376292048,708,1,receive,373351772,2940276
376292479,158,2,receive,373351916,2940563
376292896,150,4,receive,373352784,2940112
376293298,284,1,receive,373353815,2939483
376293758,70,5,receive,373288342,3005416
376294166,426,3,receive,373354781,2939385
376294619,868,2,receive,373354805,2939814
376295018,730,1,receive,373355393,2939625
376533955,206,3,receive,373355353,3178602
376534399,1000,1,receive,373355649,3178750
376534813,382,1,receive,373356097,3178716
376535210,320,3,receive,373357048,3178162
376535636,80,2,receive,373357455,3178181
376536052,36,2,receive,373357977,3178075
376536514,56,3,receive,373241375,3295139
376536988,490,1,receive,373358269,3178719
376537397,400,3,receive,373358854,3178543
376537885,554,1,receive,373359320,3178565
376538335,598,1,receive,373359649,3178686
376788519,104,5,receive,373360476,3428043
376788960,212,1,receive,373360429,3428531
376789380,818,2,receive,373360893,3428487
376789823,128,5,receive,373361359,3428464
376790291,190,1,receive,373362713,3427578
376790701,764,1,receive,373362713,3427988
376791107,210,2,receive,373363083,3428024
376791508,230,3,receive,373364522,3426986
376791907,778,4,receive,373364429,3427478
376792335,592,1,receive,373364608,3427727
376792829,488,1,receive,373367149,3425680
377026934,426,4,receive,373367583,3659351
377027383,332,1,receive,373367726,3659657
377027767,354,1,receive,373368455,3659312
377028161,582,1,receive,373368957,3659204
377028555,114,5,receive,373368894,3659661
377028950,86,4,receive,373369044,3659906
377029432,640,1,receive,373369448,3659984
377029844,166,2,receive,373358761,3671083
377030259,300,1,receive,373370044,3660215
377030657,192,1,receive,373370182,3660475
