receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
249889130746,4,1,receive,249889130281,465
249889131175,56,1,receive,249889130313,862
249889131530,28,1,receive,249889130386,1144
249889131872,48,1,receive,249889130368,1504
249889132235,52,1,receive,249889130408,1827
249889132596,8,1,receive,249889130464,2132
249889132942,24,1,receive,249889130472,2470
249889133296,16,1,receive,249889130461,2835
249889133632,2,1,receive,249889132459,1173
249889133987,6,1,receive,249889133320,667
249889134736,10,1,receive,249889133660,1076
249889135093,12,1,receive,249889134422,671
249889135451,18,1,receive,249889134509,942
249889135791,30,1,receive,249889134823,968
249889136172,26,1,receive,249889134907,1265
249889136515,14,1,receive,249889135635,880
249889138690,38,1,receive,249889136921,1769
249889139105,22,1,receive,249889137125,1980
249889139470,34,1,receive,249889138002,1468
249889139829,40,1,receive,249889138600,1229
249889140447,36,1,receive,249889138677,1770
249889143383,62,1,receive,249889139779,3604
249889145335,74,1,receive,249889139943,5392
249889145691,70,1,receive,249889140442,5249
249889150354,80,1,receive,249889140557,9797
249889153196,50,1,receive,249889140929,12267
249889153526,42,1,receive,249889141130,12396
249889155653,84,1,receive,249889141215,14438
249889159147,54,1,receive,249889141515,17632
249889160325,32,1,receive,249889141754,18571
249889160652,66,1,receive,249889141943,18709
249889160995,64,1,receive,249889142028,18967
249889161342,100,1,receive,249889142413,18929
249889161683,76,1,receive,249889142744,18939
249889177557,82,1,receive,249889143326,34231
249889177904,96,1,receive,249889143463,34441
249889178259,58,1,receive,249889148021,30238
249889178605,88,1,receive,249889148136,30469
249889178953,78,1,receive,249889148186,30767
249889179315,72,1,receive,249889148287,31028
249889179674,68,1,receive,249889149974,29700
249889180040,94,1,receive,249889150153,29887
249889180392,46,1,receive,249889150349,30043
249889180746,44,1,receive,249889152335,28411
249889181110,86,1,receive,249889152340,28770
249889181446,92,1,receive,249889152776,28670
249889181797,90,1,receive,249889155402,26395
249889182149,98,1,receive,249889155773,26376
249889182501,60,1,receive,249889159023,23478
249889182853,20,1,receive,249889158256,24597
249889250032,38,2,receive,249889248251,1781
249889256191,2,2,receive,249889255678,513
249889269301,96,2,receive,249889267777,1524
249889270779,98,2,receive,249889270013,766
249889278039,10,2,receive,249889276875,1164
249889312445,4,2,receive,249889307526,4919
249889312847,60,2,receive,249889308961,3886
249889314496,50,2,receive,249889312149,2347
249889330038,16,2,receive,249889328769,1269
249889342599,26,2,receive,249889342164,435
249889350940,12,2,receive,249889349638,1302
249889358727,74,2,receive,249889358202,525
249889382307,38,3,receive,249889380685,1622
249889403868,88,2,receive,249889402406,1462
249889404504,28,2,receive,249889403855,649
249889408402,42,2,receive,249889405377,3025
249889426933,94,2,receive,249889426492,441
