timestamp,source_vehicle,message_id,event_type
373500218,496,1,send
373606125,496,2,send
373638156,496,3,send
373690665,496,4,send
373735488,496,5,send
373769345,496,6,send
373818807,496,7,send
374207284,496,8,send
374450515,496,9,send
374656489,496,10,send
374664400,496,11,send
374940527,496,12,send
375279240,496,13,send
375507527,496,14,send
375797691,496,15,send
376018937,496,16,send
376279107,496,17,send
376531065,496,18,send
376778269,496,19,send
377039895,496,20,send
377296542,496,21,send
377565590,496,22,send
377755859,496,23,send
378010312,496,24,send
378259756,496,25,send
378458898,496,26,send
378629437,496,27,send
378839297,496,28,send
379017291,496,29,send
379240903,496,30,send
379450095,496,31,send
379595809,496,32,send
379801046,496,33,send
379940009,496,34,send
380092573,496,35,send
