receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
373361639,74,3,receive,373250725,110914
373362041,38,3,receive,373241428,120613
373363923,184,2,receive,373252728,111195
373364332,82,1,receive,373253177,111155
373364680,72,3,receive,373236969,127711
373366861,156,2,receive,373254574,112287
373367239,8,3,receive,373254823,112416
373367594,126,1,receive,373255577,112017
373368055,40,3,receive,373255919,112136
373368879,6,3,receive,373245051,123828
373369206,74,4,receive,373256025,113181
373369527,168,1,receive,373256251,113276
373369901,128,2,receive,373258107,111794
373823963,186,2,receive,373259077,564886
373824563,4,4,receive,373258886,565677
373824973,12,3,receive,373259914,565059
373825378,32,2,receive,373250011,575367
373825776,92,1,receive,373260118,565658
373826211,104,1,receive,373260181,566030
373826625,114,2,receive,373260429,566196
373827083,172,1,receive,373260499,566584
373827488,66,6,receive,373256207,571281
373827890,144,1,receive,373260632,567258
374060477,8,4,receive,373257755,802722
374060914,112,1,receive,373262148,798766
374061510,40,4,receive,373262494,799016
374061998,206,1,receive,373262711,799287
374062489,96,1,receive,373262913,799576
374062921,150,1,receive,373264523,798398
374063358,208,2,receive,373264969,798389
374063786,14,6,receive,373264854,798932
374064242,590,1,receive,373266097,798145
374064687,14,7,receive,373267806,796881
374065115,140,1,receive,373270021,795094
374296354,22,1,receive,373270029,1026325
374296815,18,1,receive,373270036,1026779
374297439,202,2,receive,373270712,1026727
374297867,60,1,receive,373270683,1027184
374298310,160,1,receive,373270910,1027400
374300290,20,4,receive,373261219,1039071
374561047,590,2,receive,373272425,1288622
374561782,172,2,receive,373273789,1287993
374562238,128,3,receive,373275202,1287036
374562648,456,1,receive,373276083,1286565
374563118,196,2,receive,373276902,1286216
374563581,188,1,receive,373276852,1286729
374563989,110,2,receive,373277086,1286903
374564404,184,3,receive,373277380,1287024
374564818,162,1,receive,373277349,1287469
374565260,20,5,receive,373276963,1288297
374565666,12,4,receive,373278229,1287437
374790796,164,1,receive,373272121,1518675
374791272,394,1,receive,373278752,1512520
374791916,82,2,receive,373266117,1525799
374792404,34,5,receive,373244407,1547997
374792876,40,5,receive,373278855,1514021
374793363,230,1,receive,373279031,1514332
374793839,492,1,receive,373279049,1514790
374794318,570,1,receive,373279141,1515177
374794809,36,1,receive,373280391,1514418
374795278,152,2,receive,373281154,1514124
375050539,88,2,receive,373263989,1786550
375051015,52,3,receive,373248117,1802898
375052093,154,1,receive,373286200,1765893
375052553,186,3,receive,373272645,1779908
375053025,196,3,receive,373287096,1765929
375053482,114,3,receive,373287285,1766197
375053947,96,2,receive,373287418,1766529
375054404,76,3,receive,373251724,1802680
375054880,590,3,receive,373289408,1765472
375055376,636,1,receive,373289341,1766035
375284393,778,1,receive,373289648,1994745
375284880,86,1,receive,373290793,1994087
375285459,98,1,receive,373291041,1994418
375285922,868,1,receive,373291114,1994808
375286371,590,4,receive,373292667,1993704
375286837,104,2,receive,373292892,1993945
375287291,90,2,receive,373293038,1994253
375287746,778,2,receive,373293094,1994652
375288205,432,1,receive,373294811,1993394
375587710,68,1,receive,373294917,2292793
375588227,346,1,receive,373295462,2292765
375588685,320,1,receive,373296620,2292065
375589145,108,2,receive,373288603,2300542
375589581,84,1,receive,373282609,2306972
375589984,84,2,receive,373297268,2292716
375590427,302,1,receive,373297189,2293238
375590839,612,1,receive,373297315,2293524
375591238,150,2,receive,373297382,2293856
375591813,974,1,receive,373292613,2299200
375592208,674,1,receive,373297959,2294249
375827598,106,2,receive,373298141,2529457
375828003,778,3,receive,373298369,2529634
375828587,104,3,receive,373300144,2528443
375829033,98,2,receive,373301015,2528018
375829430,152,3,receive,373301213,2528217
375829812,384,1,receive,373301901,2527911
375830239,86,2,receive,373303095,2527144
