receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
347329387325,20,1,receive,347329387217,108
347329387718,22,1,receive,347329387221,497
347329388088,16,1,receive,347329387225,863
347329388452,14,1,receive,347329387231,1221
347329388825,30,1,receive,347329387273,1552
347329389180,18,1,receive,347329387295,1885
347329389415,28,1,receive,347329389370,45
347334383614,26,2,receive,347334383393,221
347334384710,24,2,receive,347334384286,424
347335387469,14,2,receive,347335387362,107
347335387873,18,2,receive,347335387416,457
347335389674,28,2,receive,347335389569,105
347336382538,6,2,receive,347336382362,176
347336384522,12,2,receive,347336384309,213
347337383515,4,2,receive,347337383375,140
347337387555,20,2,receive,347337387432,123
347338383426,2,2,receive,347338383270,156
347338387451,16,2,receive,347338387359,92
347339382486,8,2,receive,347339382341,145
347339382800,10,2,receive,347339382734,66
347339387492,22,2,receive,347339387357,135
347339387754,30,2,receive,347339387413,341
347340384559,24,3,receive,347340384424,135
347341384226,26,3,receive,347341383675,551
347341387704,14,3,receive,347341387511,193
347341390220,28,3,receive,347341389719,501
347342387656,18,3,receive,347342387562,94
347344382637,6,3,receive,347344382536,101
347344382996,10,3,receive,347344382896,100
347344383595,2,3,receive,347344383451,144
347344387513,22,3,receive,347344387462,51
347345384661,12,3,receive,347345384460,201
347345387609,16,3,receive,347345387476,133
347345387958,30,3,receive,347345387532,426
347346387919,20,3,receive,347346387673,246
347347383851,4,3,receive,347347383627,224
347347384240,26,4,receive,347347384146,94
347347390090,28,4,receive,347347389882,208
347349382720,8,3,receive,347349382484,236
347349387858,18,4,receive,347349387721,137
347350383688,2,4,receive,347350383577,111
347350384862,24,4,receive,347350384736,126
347351382821,6,4,receive,347351382737,84
347351387741,14,4,receive,347351387615,126
347351388117,22,4,receive,347351387635,482
347352388344,20,4,receive,347352387829,515
347353384551,26,5,receive,347353384341,210
347354383097,10,4,receive,347354383009,88
347354387721,16,4,receive,347354387589,132
347354388095,18,5,receive,347354388005,90
347354388467,30,4,receive,347354387998,469
347355383200,8,4,receive,347355382694,506
347355384856,12,4,receive,347355384700,156
347355385265,24,5,receive,347355385145,120
347355390159,28,5,receive,347355390007,152
347357383482,6,5,receive,347357382977,505
347357383826,2,5,receive,347357383728,98
347357384232,4,4,receive,347357383800,432
347358384781,26,6,receive,347358384570,211
347359387925,16,5,receive,347359387720,205
347359388219,14,5,receive,347359387781,438
347360386182,24,6,receive,347360385720,462
347360387832,22,5,receive,347360387750,82
347360388345,30,5,receive,347360388205,140
347360390188,28,6,receive,347360390148,40
347361388478,20,5,receive,347361387996,482
347362383377,6,6,receive,347362383148,229
347362383770,10,5,receive,347362383181,589
347362384159,2,6,receive,347362384080,79
347363385118,12,5,receive,347363384993,125
347364389120,18,6,receive,347364388886,234
347365383096,8,5,receive,347365382850,246
347365390516,28,7,receive,347365390309,207
347366384233,4,5,receive,347366384023,210
347366388063,22,6,receive,347366387912,151
347366388598,30,6,receive,347366388353,245
347366388848,20,6,receive,347366388411,437
347368385206,2,7,receive,347368384667,539
347368385479,26,7,receive,347368384792,687
347368388234,14,6,receive,347368387914,320
347369383449,6,7,receive,347369383313,136
347369388048,16,6,receive,347369387923,125
347370385846,12,6,receive,347370385305,541
347370386132,24,7,receive,347370385970,162
347371389240,18,7,receive,347371389006,234
347372383571,10,6,receive,347372383471,100
347373383263,8,6,receive,347373383026,237
347374384432,4,6,receive,347374384191,241
347374388695,30,7,receive,347374388514,181
347374390722,28,8,receive,347374390461,261
347375383615,6,8,receive,347375383472,143
347375385872,12,7,receive,347375385512,360
347375388241,22,7,receive,347375388017,224
347376388718,20,7,receive,347376388542,176
347377383914,10,7,receive,347377383729,185
347378384924,2,8,receive,347378384821,103
347378385323,26,8,receive,347378384967,356
347378388102,14,7,receive,347378388063,39
347378388463,16,7,receive,347378388095,368
