receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
373691177,6,4,receive,373278304,412873
373691689,90,3,receive,373332855,358834
373692195,818,1,receive,373332891,359304
373692618,90,4,receive,373333221,359397
373693027,400,2,receive,373333307,359720
373693435,44,5,receive,373273715,419720
373693919,150,3,receive,373334297,359622
373694337,154,2,receive,373334689,359648
373694764,486,2,receive,373334774,359990
373695332,758,1,receive,373334743,360589
373695778,182,3,receive,373296292,399486
373696197,206,2,receive,373335639,360558
373696624,972,1,receive,373336349,360275
373697036,798,2,receive,373336605,360431
373697448,152,4,receive,373321810,375638
373697877,728,1,receive,373337175,360702
373698290,58,4,receive,373280331,417959
373698709,670,1,receive,373337448,361261
373915854,132,1,receive,373337427,578427
373916286,766,1,receive,373337608,578678
373916700,84,3,receive,373324172,592528
373917094,312,1,receive,373339142,577952
373917507,312,2,receive,373339616,577891
373917947,100,1,receive,373257727,660220
373918371,96,3,receive,373340772,577599
373918786,188,2,receive,373340656,578130
373919200,274,1,receive,373342284,576916
373919612,204,1,receive,373342449,577163
374147344,18,3,receive,373343300,804044
374147789,426,2,receive,373343822,803967
374148222,408,3,receive,373344177,804045
374148681,338,1,receive,373344313,804368
374149193,12,5,receive,373315677,833516
374149637,138,1,receive,373345262,804375
374150170,626,1,receive,373345494,804676
374150614,110,3,receive,373345744,804870
374151062,590,5,receive,373345797,805265
374151509,782,1,receive,373346124,805385
374374423,290,1,receive,373311159,1063264
374374887,160,3,receive,373346421,1028466
374375357,964,1,receive,373346825,1028532
374375824,96,4,receive,373346856,1028968
374376280,432,2,receive,373347684,1028596
374376735,670,2,receive,373349026,1027709
374377202,632,2,receive,373350024,1027178
374377656,106,3,receive,373351343,1026313
374378115,708,1,receive,373351772,1026343
374378602,158,2,receive,373351916,1026686
374612426,150,4,receive,373352784,1259642
374612911,284,1,receive,373353815,1259096
374613369,70,5,receive,373288342,1325027
374613845,868,2,receive,373354805,1259040
374614336,426,3,receive,373354781,1259555
374614808,206,3,receive,373355353,1259455
374615285,730,1,receive,373355393,1259892
374615748,1000,1,receive,373355649,1260099
374616214,382,1,receive,373356097,1260117
374616729,320,3,receive,373357048,1259681
374831102,80,2,receive,373357455,1473647
374831572,36,2,receive,373357977,1473595
374832028,56,3,receive,373241375,1590653
374832501,490,1,receive,373358269,1474232
374832966,400,3,receive,373358854,1474112
374833427,554,1,receive,373359320,1474107
374833880,598,1,receive,373359649,1474231
374834358,104,5,receive,373360476,1473882
374834826,212,1,receive,373360429,1474397
375038472,818,2,receive,373360893,1677579
375038965,128,5,receive,373361359,1677606
375039408,190,1,receive,373362713,1676695
375039889,764,1,receive,373362713,1677176
375040362,210,2,receive,373363083,1677279
375040825,230,3,receive,373364522,1676303
375041294,778,4,receive,373364429,1676865
375041759,592,1,receive,373364608,1677151
375042219,488,1,receive,373367149,1675070
375042707,426,4,receive,373367583,1675124
375285710,332,1,receive,373367726,1917984
375286269,354,1,receive,373368455,1917814
375286760,582,1,receive,373368957,1917803
375287240,114,5,receive,373368894,1918346
375287747,86,4,receive,373369044,1918703
375288254,640,1,receive,373369448,1918806
375288761,166,2,receive,373358761,1930000
375289275,300,1,receive,373370044,1919231
375289824,192,1,receive,373370182,1919642
375290384,712,1,receive,373370313,1920071
375291651,486,3,receive,373371338,1920313
375292156,130,3,receive,373309045,1983111
375293615,524,1,receive,373374149,1919466
375560830,130,4,receive,373373933,2186897
375561323,530,1,receive,373374600,2186723
375561817,436,1,receive,373374829,2186988
375562287,130,5,receive,373375029,2187258
375562752,636,2,receive,373376013,2186739
375563292,90,5,receive,373376866,2186426
375563753,508,1,receive,373376887,2186866
375564222,130,6,receive,373376476,2187746
375564675,972,2,receive,373377276,2187399
375802131,426,5,receive,373377644,2424487
375802615,634,3,receive,373378345,2424270
375803089,918,1,receive,373378463,2424626
375803566,618,1,receive,373379066,2424500
375804041,166,3,receive,373380013,2424028
375804518,112,2,receive,373285041,2519477
375804978,8,5,receive,373278178,2526800
375805446,196,6,receive,373381922,2423524
375805902,868,3,receive,373382063,2423839
375806360,90,6,receive,373382316,2424044
376046049,340,1,receive,373296934,2749115
376046511,400,4,receive,373382781,2663730
376046973,432,3,receive,373383008,2663965
376047452,486,4,receive,373383975,2663477
376047925,126,2,receive,373305048,2742877
376048387,222,1,receive,373375932,2672455
376048853,316,1,receive,373386209,2662644
376049327,486,5,receive,373386787,2662540
376049791,730,2,receive,373387278,2662513
376050269,2,5,receive,373273391,2776878
376291699,154,3,receive,373388709,2902990
376292143,734,1,receive,373389539,2902604
376292550,444,1,receive,373334200,2958350
376292957,638,1,receive,373371725,2921232
376293416,492,2,receive,373390020,2903396
376293837,436,2,receive,373390018,2903819
376294257,366,1,receive,373390145,2904112
376294679,618,2,receive,373390437,2904242
376295169,62,4,receive,373250337,3044832
376295590,774,1,receive,373390624,2904966
376295987,756,1,receive,373390885,2905102
376545622,554,2,receive,373391272,3154350
376546054,196,7,receive,373391318,3154736
376546468,678,1,receive,373391717,3154751
376546876,964,2,receive,373391772,3155104
376547345,724,1,receive,373392160,3155185
376547768,64,4,receive,373354344,3193424
376548255,488,2,receive,373393759,3154496
376548740,798,3,receive,373393968,3154772
376549134,320,4,receive,373394395,3154739
376549525,222,2,receive,373395466,3154059
376549934,778,5,receive,373395541,3154393
376791376,778,6,receive,373395881,3395495
376791873,32,3,receive,373285087,3506786
376792345,206,4,receive,373396720,3395625
376792813,336,1,receive,373396941,3395872
376793281,2,6,receive,373393761,3399520
376793759,766,2,receive,373397603,3396156
376794218,352,1,receive,373355333,3438885
376794678,164,2,receive,373287511,3507167
376795150,434,1,receive,373398867,3396283
376795608,804,1,receive,373398932,3396676
377033816,456,2,receive,373399942,3633874
377034274,858,1,receive,373343766,3690508
377034756,612,2,receive,373391742,3643014
377035215,150,5,receive,373400589,3634626
377035664,330,1,receive,373400981,3634683
377036115,560,1,receive,373401198,3634917
377036582,204,2,receive,373401651,3634931
377037031,564,1,receive,373401672,3635359
377037478,222,3,receive,373402437,3635041
377241057,778,7,receive,373402673,3838384
377241517,230,4,receive,373403215,3838302
377241941,586,1,receive,373403229,3838712
377242409,670,3,receive,373403888,3838521
377242845,982,1,receive,373404064,3838781
377243295,592,2,receive,373404299,3838996
377243731,554,3,receive,373404704,3839027
377244157,994,1,receive,373404655,3839502
377244594,634,4,receive,373405133,3839461
377245042,634,5,receive,373405599,3839443
377483375,426,6,receive,373405950,4077425
377483847,964,3,receive,373407361,4076486
377484293,316,2,receive,373407547,4076746
377484755,844,1,receive,373407892,4076863
377485201,586,2,receive,373408806,4076395
377485647,566,1,receive,373360373,4125274
377486092,482,1,receive,373410119,4075973
377486542,370,1,receive,373410438,4076104
377487004,836,1,receive,373411253,4075751
377487449,836,2,receive,373411872,4075577
377726794,54,2,receive,373411868,4314926
377727320,150,6,receive,373412059,4315261
377727783,252,2,receive,373415349,4312434
377728241,312,3,receive,373415998,4312243
377728704,448,2,receive,373327134,4401570
377729164,238,1,receive,373416159,4313005
377729609,312,4,receive,373416340,4313269
377730066,396,1,receive,373416732,4313334
377730508,868,4,receive,373416750,4313758
377730969,640,2,receive,373417199,4313770
377965361,318,1,receive,373417412,4547949
377965852,530,2,receive,373420076,4545776
377966314,746,1,receive,373420030,4546284
377966764,192,2,receive,373420126,4546638
377967218,810,1,receive,373420516,4546702
377967666,502,1,receive,373422960,4544706
377968112,888,1,receive,373423157,4544955
377968557,892,1,receive,373424788,4543769
377969030,896,1,receive,373425194,4543836
377969475,244,1,receive,373425208,4544267
378199201,924,1,receive,373425571,4773630
378199662,82,3,receive,373387972,4811690
378200125,964,4,receive,373427070,4773055
378200583,300,2,receive,373427165,4773418
378201033,492,3,receive,373427954,4773079
378201484,166,4,receive,373430014,4771470
378201940,332,2,receive,373417168,4784772
378202387,428,1,receive,373430101,4772286
378202854,792,1,receive,373430663,4772191
378203306,450,1,receive,373431662,4771644
378428759,582,2,receive,373432544,4996215
378429213,506,1,receive,373432861,4996352
378429663,538,1,receive,373433495,4996168
378430133,478,1,receive,373433985,4996148
378430603,230,5,receive,373434750,4995853
378431045,498,1,receive,373436296,4994749
378431495,964,5,receive,373438204,4993291
378431950,166,5,receive,373438419,4993531
378432396,300,3,receive,373438927,4993469
378432859,224,1,receive,373439255,4993604
378633526,124,1,receive,373430406,5203120
378633987,486,6,receive,373440016,5193971
378634432,860,1,receive,373336252,5298180
378634904,136,1,receive,373374011,5260893
378635445,258,1,receive,373440131,5195314
378635900,788,1,receive,373440383,5195517
378636346,584,1,receive,373440677,5195669
378636824,860,2,receive,373442319,5194505
378637326,972,3,receive,373442573,5194753
378637798,352,2,receive,373443173,5194625
378836790,598,2,receive,373443786,5393004
378837242,312,5,receive,373444006,5393236
378837701,612,3,receive,373444252,5393449
378838165,868,5,receive,373446264,5391901
378838623,150,7,receive,373447583,5391040
378839073,730,3,receive,373448020,5391053
378839517,964,6,receive,373450038,5389479
378839969,358,1,receive,373450130,5389839
378840437,364,1,receive,373450269,5390168
378840880,430,1,receive,373450892,5389988
379035117,240,1,receive,373451132,5583985
379035595,312,6,receive,373451246,5584349
379036048,656,1,receive,373452049,5583999
379036494,284,2,receive,373428397,5608097
379036953,696,1,receive,373453421,5583532
379037436,362,1,receive,373453682,5583754
379037898,320,5,receive,373453829,5584069
379038354,252,3,receive,373455163,5583191
379038806,274,2,receive,373407508,5631298
379039270,338,2,receive,373455536,5583734
379233178,510,1,receive,373456262,5776916
379233645,730,4,receive,373457374,5776271
379234109,868,6,receive,373457618,5776491
379234559,420,1,receive,373457777,5776782
379235023,456,3,receive,373458002,5777021
379235471,240,2,receive,373458406,5777065
379235928,228,1,receive,373458664,5777264
379236374,404,1,receive,373458775,5777599
379236823,766,3,receive,373459094,5777729
379237273,606,1,receive,373459342,5777931
379431208,356,1,receive,373459582,5971626
379431672,908,1,receive,373460048,5971624
379432131,304,1,receive,373460382,5971749
379432588,236,1,receive,373460929,5971659
379433046,178,1,receive,373391181,6041865
379433558,500,1,receive,373461772,5971786
379434009,598,3,receive,373462312,5971697
379434474,616,1,receive,373463550,5970924
379434936,334,1,receive,373464651,5970285
379435420,360,1,receive,373465058,5970362
379590949,634,6,receive,373465210,6125739
379591406,252,4,receive,373467636,6123770
379591852,274,3,receive,373467950,6123902
379592284,282,1,receive,373468146,6124138
379592740,456,4,receive,373468388,6124352
379593190,352,3,receive,373468467,6124723
379593675,932,1,receive,373468666,6125009
379594145,204,3,receive,373469146,6124999
379594608,768,3,receive,373691275,5903333
379595058,776,4,receive,373691797,5903261
379763839,676,2,receive,373692370,6071469
379764283,122,2,receive,373332289,6431994
379764706,458,5,receive,373692411,6072295
379765103,368,6,receive,373692576,6072527
379765513,940,7,receive,373692709,6072804
379765894,630,4,receive,373692733,6073161
379766269,744,4,receive,373692899,6073370
379766696,744,5,receive,373694063,6072633
379767099,208,3,receive,373334114,6432985
379767495,408,10,receive,373694860,6072635
379767957,604,3,receive,373694959,6072998
379934270,612,11,receive,373695568,6238702
379934666,2,10,receive,373659963,6274703
379935054,488,7,receive,373696229,6238825
379935523,268,4,receive,373696332,6239191
379935919,752,1,receive,373641178,6294741
379936387,176,1,receive,373304010,6632377
379936781,112,3,receive,373402703,6534078
379937187,630,5,receive,373697595,6239592
379937717,256,2,receive,373697702,6240015
379938113,296,4,receive,373697895,6240218
379938504,162,2,receive,373340609,6597895
380101718,386,3,receive,373698072,6403646
380102129,618,6,receive,373698767,6403362
380102565,88,3,receive,373312273,6790292
380102979,744,6,receive,373699215,6403764
380103391,840,5,receive,373699245,6404146
380103776,628,2,receive,373699420,6404356
380104157,594,3,receive,373699601,6404556
380104539,522,4,receive,373700038,6404501
380104971,806,3,receive,373700053,6404918
380105372,546,1,receive,373700042,6405330
380105766,832,1,receive,373700160,6405606
380262837,940,8,receive,373700210,6562627
380263331,808,3,receive,373700403,6562928
380263756,348,4,receive,373627262,6636494
380264163,488,8,receive,373701399,6562764
380264578,970,3,receive,373701713,6562865
380265000,142,1,receive,373280056,6984944
380265452,848,6,receive,373762071,6503381
380265836,134,2,receive,373744880,6520956
380266226,796,2,receive,373608777,6657449
380266668,744,9,receive,373818295,6448373
380267180,572,2,receive,373690166,6577014
380406115,248,2,receive,373819234,6586881
380406524,74,5,receive,373337224,7069300
