receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
262794894185,118,1,receive,262794639252,254933
262794894818,40,1,receive,262794639832,254986
262794895432,108,1,receive,262794640838,254594
262794896031,86,1,receive,262794641071,254960
262794896626,234,1,receive,262794641428,255198
262794897240,106,1,receive,262794641533,255707
262794897868,428,1,receive,262794641957,255911
262795003061,392,1,receive,262794641371,361690
262795003698,422,1,receive,262794642630,361068
262795023290,136,1,receive,262794642655,380635
262795023927,142,1,receive,262794643116,380811
262795024569,90,1,receive,262794644062,380507
262795105649,278,1,receive,262794645016,460633
262795106315,132,1,receive,262794645162,461153
262795106975,96,1,receive,262794645700,461275
262795107626,262,1,receive,262794646137,461489
262795108286,82,1,receive,262794647666,460620
262795108941,110,1,receive,262794648198,460743
262795208304,372,1,receive,262794651592,556712
262795208986,12,1,receive,262794651507,557479
262795209668,156,1,receive,262794652107,557561
262795210343,198,1,receive,262794652771,557572
262795300383,186,1,receive,262794653417,646966
262795301069,16,1,receive,262794654371,646698
262795301735,376,1,receive,262794656043,645692
262795302414,582,1,receive,262794656105,646309
262795303101,380,1,receive,262794656620,646481
262795303774,210,1,receive,262794657065,646709
262795422623,580,1,receive,262794657773,764850
262795423300,218,1,receive,262794659052,764248
262795423958,596,1,receive,262794659861,764097
262795424615,50,1,receive,262794660037,764578
262795425275,76,1,receive,262794660045,765230
262795425929,44,1,receive,262794661029,764900
262795536766,592,1,receive,262794664405,872361
262795537441,420,1,receive,262794665047,872394
262795538107,588,1,receive,262794665889,872218
262795538771,150,1,receive,262794668319,870452
262795539447,632,1,receive,262794668908,870539
262795658256,164,1,receive,262794669151,989105
262795658902,384,1,receive,262794669749,989153
262795659586,14,1,receive,262794650105,1009481
262795660273,542,1,receive,262794672968,987305
262795660956,628,1,receive,262794676074,984882
262795661640,52,1,receive,262794677035,984605
262795762359,590,1,receive,262794679633,1082726
262795763043,170,1,receive,262794680405,1082638
262795763736,226,1,receive,262794680969,1082767
262795764426,364,1,receive,262794682340,1082086
262795860072,10,1,receive,262794651651,1208421
262795860720,88,1,receive,262794684352,1176368
262795861401,134,1,receive,262794684917,1176484
262795875802,358,1,receive,262794685038,1190764
