receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
249889137840,38,1,receive,249889136921,919
249889138309,22,1,receive,249889137125,1184
249889140645,34,1,receive,249889138002,2643
249889142754,40,1,receive,249889138600,4154
249889143293,36,1,receive,249889138677,4616
249889148328,62,1,receive,249889139779,8549
249889148781,74,1,receive,249889139943,8838
249889150723,70,1,receive,249889140442,10281
249889151192,80,1,receive,249889140557,10635
249889151662,50,1,receive,249889140929,10733
249889152117,42,1,receive,249889141130,10987
249889155176,84,1,receive,249889141215,13961
249889155724,54,1,receive,249889141515,14209
249889159436,32,1,receive,249889141754,17682
249889159915,66,1,receive,249889141943,17972
249889164408,64,1,receive,249889142028,22380
249889164892,100,1,receive,249889142413,22479
249889165381,76,1,receive,249889142744,22637
249889165866,82,1,receive,249889143326,22540
249889166362,96,1,receive,249889143463,22899
249889166847,58,1,receive,249889148021,18826
249889171335,88,1,receive,249889148136,23199
249889171829,78,1,receive,249889148186,23643
249889172330,72,1,receive,249889148287,24043
249889172833,68,1,receive,249889149974,22859
249889173334,94,1,receive,249889150153,23181
249889173827,46,1,receive,249889150349,23478
249889177336,44,1,receive,249889152335,25001
249889177837,86,1,receive,249889152340,25497
249889178343,92,1,receive,249889152776,25567
249889178852,90,1,receive,249889155402,23450
249889179363,98,1,receive,249889155773,23590
249889179875,60,1,receive,249889159023,20852
249889183618,20,1,receive,249889158256,25362
249889248606,38,2,receive,249889248251,355
249889255923,2,2,receive,249889255678,245
249889268502,96,2,receive,249889267777,725
249889271596,98,2,receive,249889270013,1583
249889278466,10,2,receive,249889276875,1591
249889310902,4,2,receive,249889307526,3376
249889311282,60,2,receive,249889308961,2321
249889313760,50,2,receive,249889312149,1611
249889329167,16,2,receive,249889328769,398
249889344025,26,2,receive,249889342164,1861
249889350525,12,2,receive,249889349638,887
249889359969,74,2,receive,249889358202,1767
249889381070,38,3,receive,249889380685,385
249889402765,88,2,receive,249889402406,359
249889405289,28,2,receive,249889403855,1434
249889406228,42,2,receive,249889405377,851
249889428143,94,2,receive,249889426492,1651
249889441760,60,3,receive,249889441335,425
249889450013,26,3,receive,249889448607,1406
249889455387,16,3,receive,249889453199,2188
249889480850,50,3,receive,249889480190,660
249889492582,24,2,receive,249889490744,1838
249889535575,68,2,receive,249889533231,2344
249889536447,96,3,receive,249889535876,571
249889540260,62,2,receive,249889537801,2459
249889551687,76,2,receive,249889550122,1565
249889567333,2,3,receive,249889565781,1552
249889618698,90,2,receive,249889616717,1981
249889626693,98,3,receive,249889626086,607
249889666194,44,2,receive,249889665448,746
249889668951,2,4,receive,249889667742,1209
249889675373,34,2,receive,249889674233,1140
249889687430,84,2,receive,249889686752,678
249889693714,92,2,receive,249889693029,685
249889726111,100,2,receive,249889724809,1302
249889733689,24,3,receive,249889731929,1760
249889760809,20,2,receive,249889758424,2385
249889790288,88,3,receive,249889786541,3747
249889790775,80,2,receive,249889788239,2536
249889814091,18,2,receive,249889810746,3345
249889814460,94,3,receive,249889811670,2790
249889814819,52,2,receive,249889812251,2568
249889821846,70,2,receive,249889819919,1927
249889864050,66,2,receive,249889863705,345
249889867997,86,2,receive,249889864591,3406
249889872482,34,3,receive,249889871138,1344
249889887937,46,2,receive,249889884575,3362
249889888322,72,2,receive,249889885974,2348
249889901432,48,2,receive,249889899611,1821
249889909268,36,2,receive,249889907895,1373
249889924891,14,2,receive,249889923883,1008
249889926630,82,2,receive,249889925616,1014
249889927584,54,2,receive,249889927353,231
249889935282,32,2,receive,249889934998,284
249889942795,4,3,receive,249889941392,1403
249889951249,78,2,receive,249889950968,281
249889955691,12,3,receive,249889953601,2090
249889968812,6,2,receive,249889968528,284
249889978581,58,2,receive,249889978300,281
249889981186,66,3,receive,249889981007,179
249889999441,46,3,receive,249889998389,1052
249890005369,34,4,receive,249890004719,650
249890027642,56,2,receive,249890026541,1101
249890046029,50,4,receive,249890045028,1001
249890051098,64,2,receive,249890049265,1833
249890053123,44,3,receive,249890051547,1576
249890059523,8,2,receive,249890057644,1879
249890067427,60,4,receive,249890066075,1352
249890067839,22,2,receive,249890066329,1510
249890071300,92,3,receive,249890069948,1352
249890081050,62,3,receive,249890080023,1027
249890104999,30,2,receive,249890103023,1976
249890107712,40,2,receive,249890107019,693
249890128637,42,3,receive,249890127751,886
249890131825,56,3,receive,249890129493,2332
249890132404,84,3,receive,249890131859,545
249890148623,10,3,receive,249890146966,1657
249890167207,68,3,receive,249890166846,361
249890184911,74,3,receive,249890184094,817
249890200983,24,4,receive,249890200107,876
249890207777,98,4,receive,249890207436,341
249890210424,80,3,receive,249890209321,1103
249890215019,54,3,receive,249890214783,236
249890219126,26,4,receive,249890218900,226
249890272639,38,4,receive,249890269383,3256
249890275572,14,3,receive,249890270750,4822
249890276068,36,3,receive,249890273108,2960
249890281304,12,4,receive,249890279416,1888
249890286358,16,4,receive,249890284091,2267
249890326514,42,4,receive,249890324691,1823
249890338863,46,4,receive,249890336644,2219
249890352749,52,3,receive,249890350771,1978
249890361431,74,4,receive,249890359166,2265
249890363354,94,4,receive,249890361752,1602
249890376623,14,4,receive,249890374661,1962
249890384127,76,3,receive,249890382260,1867
249890393319,40,3,receive,249890393014,305
249890403240,28,3,receive,249890400899,2341
249890423109,32,3,receive,249890422355,754
249890426237,62,4,receive,249890424730,1507
249890428907,96,4,receive,249890426923,1984
249890443770,86,3,receive,249890442892,878
249890445122,2,5,receive,249890444819,303
249890456153,54,4,receive,249890454985,1168
249890463391,78,3,receive,249890462307,1084
249890471774,88,4,receive,249890470786,988
249890474683,84,4,receive,249890474069,614
249890477285,58,3,receive,249890476337,948
249890480408,14,5,receive,249890479038,1370
249890482963,8,3,receive,249890481332,1631
249890493312,18,3,receive,249890492418,894
249890503152,48,3,receive,249890502863,289
249890507019,50,5,receive,249890506769,250
249890507396,68,4,receive,249890506871,525
249890527759,10,4,receive,249890527122,637
249890551041,92,4,receive,249890550437,604
249890570978,42,5,receive,249890569973,1005
249890581689,36,4,receive,249890579987,1702
249890591377,90,3,receive,249890590962,415
249890597058,96,5,receive,249890595546,1512
249890606755,62,5,receive,249890604934,1821
249890635362,28,4,receive,249890634331,1031
249890637041,40,4,receive,249890636104,937
249890654240,98,5,receive,249890649692,4548
249890654739,20,3,receive,249890650958,3781
249890664439,100,3,receive,249890663149,1290
249890710149,66,4,receive,249890707879,2270
249890718452,8,4,receive,249890716469,1983
249890739640,22,3,receive,249890737822,1818
249890741761,4,4,receive,249890740605,1156
249890745510,80,4,receive,249890744697,813
249890753470,18,4,receive,249890753193,277
249890756743,54,5,receive,249890756132,611
249890787093,46,5,receive,249890786342,751
249890792755,94,5,receive,249890791802,953
249890809791,6,3,receive,249890808849,942
249890815413,70,3,receive,249890814117,1296
249890822165,72,3,receive,249890820897,1268
249890833503,20,4,receive,249890832417,1086
249890836334,66,5,receive,249890833915,2419
249890837263,86,4,receive,249890837093,170
249890840656,38,5,receive,249890840458,198
249890853600,34,5,receive,249890853370,230
249890855079,14,6,receive,249890854649,430
249890862934,62,6,receive,249890860015,2919
249890863487,82,3,receive,249890861463,2024
249890864299,64,3,receive,249890864087,212
249890910792,8,5,receive,249890910389,403
249890973615,96,6,receive,249890970752,2863
249890973988,44,4,receive,249890971921,2067
249890987430,68,5,receive,249890986279,1151
249890989488,36,5,receive,249890989286,202
249891000505,84,5,receive,249890998966,1539
249891014781,70,4,receive,249891013536,1245
249891025607,56,4,receive,249891023302,2305
249891026103,30,3,receive,249891024506,1597
249891031946,34,6,receive,249891030650,1296
249891044649,60,5,receive,249891043934,715
249891047081,98,6,receive,249891045303,1778
249891074749,26,5,receive,249891072899,1850
249891079812,6,4,receive,249891078959,853
249891086617,54,6,receive,249891084824,1793
249891094293,2,6,receive,249891092956,1337
249891102431,38,6,receive,249891100348,2083
249891108713,80,5,receive,249891107545,1168
249891109226,52,4,receive,249891108525,701
249891131058,12,5,receive,249891129378,1680
249891146474,50,6,receive,249891146259,215
249891149946,76,4,receive,249891149737,209
249891156181,24,5,receive,249891155511,670
249891163781,88,5,receive,249891163591,190
249891182431,14,7,receive,249891182185,246
249891209946,16,5,receive,249891209656,290
249891227357,92,5,receive,249891227133,224
249891237245,10,5,receive,249891237034,211
249891239344,82,4,receive,249891239122,222
249891251553,84,6,receive,249891250798,755
249891274324,48,4,receive,249891272580,1744
249891292298,90,4,receive,249891291665,633
249891295998,58,4,receive,249891293513,2485
249891308466,86,5,receive,249891306784,1682
249891348864,2,7,receive,249891346688,2176
249891361407,70,5,receive,249891359459,1948
249891361910,74,5,receive,249891359623,2287
249891370697,20,5,receive,249891368940,1757
249891372288,78,4,receive,249891371585,703
249891382973,66,6,receive,249891381314,1659
249891391511,100,4,receive,249891390736,775
249891400650,32,4,receive,249891398289,2361
249891413373,68,6,receive,249891412590,783
249891433614,52,5,receive,249891431949,1665
249891436140,4,5,receive,249891435509,631
249891440111,22,4,receive,249891438604,1507
249891448977,18,5,receive,249891447198,1779
249891449629,26,6,receive,249891449318,311
249891453133,8,6,receive,249891451452,1681
249891459502,42,6,receive,249891458284,1218
249891469396,40,5,receive,249891467655,1741
249891479263,72,4,receive,249891477844,1419
249891493959,64,4,receive,249891492119,1840
249891505521,6,5,receive,249891505281,240
249891514945,56,5,receive,249891513230,1715
249891520490,28,5,receive,249891516181,4309
249891520962,94,6,receive,249891517342,3620
249891523962,12,6,receive,249891523729,233
249891539296,52,6,receive,249891537891,1405
249891554921,58,5,receive,249891554592,329
249891563171,24,6,receive,249891562917,254
249891572579,16,6,receive,249891571090,1489
249891587054,22,5,receive,249891586369,685
249891603545,44,5,receive,249891602153,1392
249891654548,46,6,receive,249891653505,1043
249891671617,14,8,receive,249891670246,1371
249891685819,100,5,receive,249891685551,268
249891726936,54,7,receive,249891726631,305
249891754813,62,7,receive,249891754462,351
249891784170,88,6,receive,249891783896,274
249891787815,56,6,receive,249891787187,628
249891794359,4,6,receive,249891793803,556
249891800878,70,6,receive,249891800385,493
249891803350,78,5,receive,249891802435,915
249891805284,40,6,receive,249891803532,1752
249891807938,64,5,receive,249891806584,1354
249891808324,50,7,receive,249891806796,1528
249891825103,38,7,receive,249891823166,1937
249891831084,96,7,receive,249891829868,1216
249891832606,34,7,receive,249891831930,676
249891846178,8,7,receive,249891844920,1258
249891848730,84,7,receive,249891847018,1712
249891849226,28,6,receive,249891847058,2168
249891886496,36,6,receive,249891885182,1314
249891895369,26,7,receive,249891893113,2256
249891935998,60,6,receive,249891934362,1636
249891948645,98,7,receive,249891946951,1694
249891949112,54,8,receive,249891948695,417
249891959419,74,6,receive,249891957688,1731
249891963701,30,4,receive,249891961959,1742
249891998313,10,6,receive,249891997524,789
249892002229,48,5,receive,249892000491,1738
249892014048,20,6,receive,249892013006,1042
249892044158,6,6,receive,249892043157,1001
249892046555,18,6,receive,249892045506,1049
249892060520,82,5,receive,249892058761,1759
249892063727,70,7,receive,249892062932,795
249892066146,12,7,receive,249892063728,2418
249892069091,80,6,receive,249892066235,2856
249892079061,92,6,receive,249892078750,311
249892093358,14,9,receive,249892091917,1441
249892106019,58,6,receive,249892105671,348
249892109358,76,5,receive,249892106846,2512
249892109733,56,7,receive,249892108459,1274
249892131780,46,7,receive,249892130103,1677
249892156416,32,5,receive,249892153709,2707
249892156771,86,6,receive,249892153733,3038
249892160537,60,7,receive,249892159110,1427
249892161252,66,7,receive,249892161009,243
249892161651,94,7,receive,249892161185,466
249892183293,2,8,receive,249892181064,2229
249892185333,4,7,receive,249892184364,969
249892188895,30,5,receive,249892187885,1010
249892207657,42,7,receive,249892207329,328
249892214509,52,7,receive,249892212631,1878
249892223405,88,7,receive,249892222214,1191
249892230768,12,8,receive,249892229102,1666
249892242227,90,5,receive,249892241473,754
249892257603,44,6,receive,249892255978,1625
249892284854,68,7,receive,249892283354,1500
249892288446,38,8,receive,249892286609,1837
249892305991,8,8,receive,249892304763,1228
249892334715,78,6,receive,249892332388,2327
249892353240,86,7,receive,249892351273,1967
249892357386,76,6,receive,249892356276,1110
249892372850,24,7,receive,249892371164,1686
249892375228,50,8,receive,249892375093,135
249892380680,44,7,receive,249892379565,1115
249892385601,34,8,receive,249892384962,639
249892388042,28,7,receive,249892386177,1865
249892413752,100,6,receive,249892412483,1269
249892432185,6,7,receive,249892430463,1722
249892435414,72,5,receive,249892434485,929
