timestamp,source_vehicle,message_id,event_type
373507615,772,1,send
373653835,772,2,send
374064849,772,3,send
374274285,772,4,send
374550924,772,5,send
374792423,772,6,send
375052178,772,7,send
375266881,772,8,send
375523656,772,9,send
375768633,772,10,send
376056621,772,11,send
376365297,772,12,send
376577160,772,13,send
376793182,772,14,send
376842317,772,15,send
377070672,772,16,send
377317645,772,17,send
377574319,772,18,send
377807422,772,19,send
377999756,772,20,send
378251222,772,21,send
378459771,772,22,send
378635837,772,23,send
378860246,772,24,send
378880187,772,25,send
379097507,772,26,send
379285597,772,27,send
379490218,772,28,send
379631782,772,29,send
379665804,772,30,send
379788597,772,31,send
379973664,772,32,send
380105507,772,33,send
380154427,772,34,send
380283166,772,35,send
380406147,772,36,send
380524345,772,37,send
380656400,772,38,send
380775416,772,39,send
380890406,772,40,send
381029511,772,41,send
381145250,772,42,send
381255064,772,43,send
381373277,772,44,send
381518090,772,45,send
381561576,772,46,send
381675689,772,47,send
381806568,772,48,send
381873698,772,49,send
381976244,772,50,send
382039849,772,51,send
382097453,772,52,send
382138677,772,53,send
382186058,772,54,send
