receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
373698036,84,3,receive,373324172,373864
373698480,312,1,receive,373339142,359338
373698917,312,2,receive,373339616,359301
373699327,100,1,receive,373257727,441600
373699737,188,2,receive,373340656,359081
373700149,96,3,receive,373340772,359377
373700541,274,1,receive,373342284,358257
373700948,204,1,receive,373342449,358499
373701329,18,3,receive,373343300,358029
373701724,426,2,receive,373343822,357902
373702118,408,3,receive,373344177,357941
373702523,338,1,receive,373344313,358210
373702945,12,5,receive,373315677,387268
373980391,138,1,receive,373345262,635129
373980980,626,1,receive,373345494,635486
373981445,110,3,receive,373345744,635701
373982103,590,5,receive,373345797,636306
373982545,782,1,receive,373346124,636421
373983026,290,1,receive,373311159,671867
373983493,160,3,receive,373346421,637072
373984412,964,1,receive,373346825,637587
374178656,96,4,receive,373346856,831800
374179116,432,2,receive,373347684,831432
374179677,670,2,receive,373349026,830651
374180151,632,2,receive,373350024,830127
374180620,106,3,receive,373351343,829277
374181074,708,1,receive,373351772,829302
374181524,158,2,receive,373351916,829608
374181985,150,4,receive,373352784,829201
374182428,284,1,receive,373353815,828613
374182893,70,5,receive,373288342,894551
374386290,426,3,receive,373354781,1031509
374386733,868,2,receive,373354805,1031928
374387286,206,3,receive,373355353,1031933
374387684,730,1,receive,373355393,1032291
374388172,1000,1,receive,373355649,1032523
374388588,382,1,receive,373356097,1032491
374388994,320,3,receive,373357048,1031946
374389395,80,2,receive,373357455,1031940
374389796,36,2,receive,373357977,1031819
374390282,56,3,receive,373241375,1148907
374390681,490,1,receive,373358269,1032412
374604769,400,3,receive,373358854,1245915
374605247,554,1,receive,373359320,1245927
374605812,598,1,receive,373359649,1246163
374606266,212,1,receive,373360429,1245837
374606743,104,5,receive,373360476,1246267
374607217,818,2,receive,373360893,1246324
374607673,128,5,receive,373361359,1246314
374608122,764,1,receive,373362713,1245409
374608573,190,1,receive,373362713,1245860
374609048,210,2,receive,373363083,1245965
374840322,230,3,receive,373364522,1475800
374840780,778,4,receive,373364429,1476351
374841343,592,1,receive,373364608,1476735
374841806,488,1,receive,373367149,1474657
374842259,426,4,receive,373367583,1474676
374842728,332,1,receive,373367726,1475002
374843177,354,1,receive,373368455,1474722
374843640,114,5,receive,373368894,1474746
374844103,582,1,receive,373368957,1475146
374844561,86,4,receive,373369044,1475517
375065572,640,1,receive,373369448,1696124
375066037,166,2,receive,373358761,1707276
375066609,300,1,receive,373370044,1696565
375067092,192,1,receive,373370182,1696910
375067575,712,1,receive,373370313,1697262
375068049,486,3,receive,373371338,1696711
375068519,130,3,receive,373309045,1759474
375319152,524,1,receive,373374149,1945003
375319623,130,4,receive,373373933,1945690
375320342,530,1,receive,373374600,1945742
375320816,436,1,receive,373374829,1945987
375321277,130,5,receive,373375029,1946248
375321734,636,2,receive,373376013,1945721
375322212,90,5,receive,373376866,1945346
375573267,508,1,receive,373376887,2196380
375573751,130,6,receive,373376476,2197275
375574354,972,2,receive,373377276,2197078
375574821,426,5,receive,373377644,2197177
375575290,634,3,receive,373378345,2196945
375575762,918,1,receive,373378463,2197299
375576231,618,1,receive,373379066,2197165
375576714,166,3,receive,373380013,2196701
375577187,112,2,receive,373285041,2292146
375577670,8,5,receive,373278178,2299492
375825873,196,6,receive,373381922,2443951
375826373,868,3,receive,373382063,2444310
375826953,90,6,receive,373382316,2444637
375827458,340,1,receive,373296934,2530524
375827939,400,4,receive,373382781,2445158
375828409,432,3,receive,373383008,2445401
375828900,486,4,receive,373383975,2444925
375829371,126,2,receive,373305048,2524323
375829853,222,1,receive,373375932,2453921
375830355,316,1,receive,373386209,2444146
376059776,486,5,receive,373386787,2672989
376060263,730,2,receive,373387278,2672985
376060728,2,5,receive,373273391,2787337
376061195,154,3,receive,373388709,2672486
376061661,734,1,receive,373389539,2672122
376062135,444,1,receive,373334200,2727935
376062592,638,1,receive,373371725,2690867
376063061,436,2,receive,373390018,2673043
376063544,492,2,receive,373390020,2673524
376064022,366,1,receive,373390145,2673877
376298607,618,2,receive,373390437,2908170
376299082,62,4,receive,373250337,3048745
376299658,774,1,receive,373390624,2909034
376300146,756,1,receive,373390885,2909261
376300630,554,2,receive,373391272,2909358
376301144,196,7,receive,373391318,2909826
376301617,678,1,receive,373391717,2909900
376302098,964,2,receive,373391772,2910326
376302564,724,1,receive,373392160,2910404
376303049,64,4,receive,373354344,2948705
376537133,488,2,receive,373393759,3143374
376537652,798,3,receive,373393968,3143684
376538235,320,4,receive,373394395,3143840
376538734,222,2,receive,373395466,3143268
376539204,778,5,receive,373395541,3143663
376539681,778,6,receive,373395881,3143800
376540160,32,3,receive,373285087,3255073
376540622,206,4,receive,373396720,3143902
