receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
347329384247,24,1,receive,347329384150,97
347329387312,20,1,receive,347329387217,95
347329387671,22,1,receive,347329387221,450
347329388026,16,1,receive,347329387225,801
347329388376,14,1,receive,347329387231,1145
347329388723,30,1,receive,347329387273,1450
347329389012,18,1,receive,347329387295,1717
347329389489,28,1,receive,347329389370,119
347334383591,26,2,receive,347334383393,198
347334384423,24,2,receive,347334384286,137
347335388235,14,2,receive,347335387362,873
347335388428,18,2,receive,347335387416,1012
347335389691,28,2,receive,347335389569,122
347336382592,6,2,receive,347336382362,230
347337383889,4,2,receive,347337383375,514
347337387649,20,2,receive,347337387432,217
347338383473,2,2,receive,347338383270,203
347338387501,16,2,receive,347338387359,142
347339382509,8,2,receive,347339382341,168
347339383102,10,2,receive,347339382734,368
347339387557,22,2,receive,347339387357,200
347339387926,30,2,receive,347339387413,513
347340384576,24,3,receive,347340384424,152
347341384194,26,3,receive,347341383675,519
347341387981,14,3,receive,347341387511,470
347341390186,28,3,receive,347341389719,467
347342387688,18,3,receive,347342387562,126
347344382770,6,3,receive,347344382536,234
347344383046,10,3,receive,347344382896,150
347344383537,2,3,receive,347344383451,86
347344387595,22,3,receive,347344387462,133
347345387539,16,3,receive,347345387476,63
347345387792,30,3,receive,347345387532,260
347346387862,20,3,receive,347346387673,189
347347383859,4,3,receive,347347383627,232
347347384222,26,4,receive,347347384146,76
347347390042,28,4,receive,347347389882,160
347349382971,8,3,receive,347349382484,487
347349388156,18,4,receive,347349387721,435
347350383913,2,4,receive,347350383577,336
347350385149,24,4,receive,347350384736,413
347351383269,6,4,receive,347351382737,532
347351387822,14,4,receive,347351387615,207
347351388101,22,4,receive,347351387635,466
347352388408,20,4,receive,347352387829,579
347353384537,26,5,receive,347353384341,196
347354383267,10,4,receive,347354383009,258
347354388107,16,4,receive,347354387589,518
347354388398,30,4,receive,347354387998,400
347354388665,18,5,receive,347354388005,660
347355382950,8,4,receive,347355382694,256
347355385588,24,5,receive,347355385145,443
347355390105,28,5,receive,347355390007,98
347357383406,6,5,receive,347357382977,429
347357383775,2,5,receive,347357383728,47
347357384157,4,4,receive,347357383800,357
347358384806,26,6,receive,347358384570,236
347359387931,16,5,receive,347359387720,211
347359388308,14,5,receive,347359387781,527
347360386232,24,6,receive,347360385720,512
347360387894,22,5,receive,347360387750,144
347360388270,30,5,receive,347360388205,65
347360390192,28,6,receive,347360390148,44
347361388220,20,5,receive,347361387996,224
347362383365,6,6,receive,347362383148,217
347362383760,10,5,receive,347362383181,579
347362384154,2,6,receive,347362384080,74
347364389062,18,6,receive,347364388886,176
347365383054,8,5,receive,347365382850,204
347365390516,28,7,receive,347365390309,207
347366384537,4,5,receive,347366384023,514
347366388140,22,6,receive,347366387912,228
347366388498,30,6,receive,347366388353,145
347366388764,20,6,receive,347366388411,353
347368384910,2,7,receive,347368384667,243
347368385309,26,7,receive,347368384792,517
347368388121,14,6,receive,347368387914,207
347369383507,6,7,receive,347369383313,194
347369388090,16,6,receive,347369387923,167
347370386385,24,7,receive,347370385970,415
347371389270,18,7,receive,347371389006,264
347372383657,10,6,receive,347372383471,186
347373383198,8,6,receive,347373383026,172
347374384388,4,6,receive,347374384191,197
347374388620,30,7,receive,347374388514,106
347374390917,28,8,receive,347374390461,456
347375383659,6,8,receive,347375383472,187
347375388454,22,7,receive,347375388017,437
347376389064,20,7,receive,347376388542,522
347377383940,10,7,receive,347377383729,211
347378385091,2,8,receive,347378384821,270
347378385479,26,8,receive,347378384967,512
347378388181,14,7,receive,347378388063,118
347378388550,16,7,receive,347378388095,455
