receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
373346157,114,1,receive,373243393,102764
373346612,26,3,receive,373242977,103635
373346999,184,1,receive,373244281,102718
373347396,44,4,receive,373244365,103031
373347820,152,1,receive,373244303,103517
373348226,70,4,receive,373234554,113672
373348635,196,1,receive,373244839,103796
373349048,202,1,receive,373245191,103857
373349473,110,1,receive,373246363,103110
373349899,130,2,receive,373247303,102596
373744369,16,2,receive,373248215,496154
373744769,106,1,receive,373248258,496511
373745192,182,2,receive,373248814,496378
373745606,128,1,receive,373248918,496688
373746026,58,3,receive,373249671,496355
373746451,90,1,receive,373250077,496374
373746875,10,1,receive,373250106,496769
373747291,74,3,receive,373250725,496566
373747696,38,3,receive,373241428,506268
373748103,184,2,receive,373252728,495375
373970130,82,1,receive,373253177,716953
373970595,72,3,receive,373236969,733626
373971040,156,2,receive,373254574,716466
373971482,8,3,receive,373254823,716659
373971924,126,1,receive,373255577,716347
373972378,40,3,receive,373255919,716459
373972822,6,3,receive,373245051,727771
373973264,74,4,receive,373256025,717239
373973706,168,1,receive,373256251,717455
373974159,128,2,receive,373258107,716052
374188605,186,2,receive,373259077,929528
374189061,4,4,receive,373258886,930175
374189526,12,3,receive,373259914,929612
374189985,32,2,receive,373250011,939974
374190441,92,1,receive,373260118,930323
374190892,104,1,receive,373260181,930711
374191340,114,2,receive,373260429,930911
374191798,172,1,receive,373260499,931299
374192259,66,6,receive,373256207,936052
374192706,144,1,receive,373260632,932074
374436804,8,4,receive,373257755,1179049
374437264,112,1,receive,373262148,1175116
374437745,40,4,receive,373262494,1175251
374438209,206,1,receive,373262711,1175498
374438659,96,1,receive,373262913,1175746
374439112,150,1,receive,373264523,1174589
374439591,208,2,receive,373264969,1174622
374440086,14,6,receive,373264854,1175232
374440546,590,1,receive,373266097,1174449
374441004,14,7,receive,373267806,1173198
374694826,140,1,receive,373270021,1424805
374695290,22,1,receive,373270029,1425261
374695764,18,1,receive,373270036,1425728
374696231,202,2,receive,373270712,1425519
374696698,60,1,receive,373270683,1426015
374697158,160,1,receive,373270910,1426248
374697639,20,4,receive,373261219,1436420
374698102,590,2,receive,373272425,1425677
374698555,172,2,receive,373273789,1424766
374699002,128,3,receive,373275202,1423800
374924391,456,1,receive,373276083,1648308
374924856,196,2,receive,373276902,1647954
374925331,188,1,receive,373276852,1648479
374925784,110,2,receive,373277086,1648698
374926247,184,3,receive,373277380,1648867
374926719,162,1,receive,373277349,1649370
374927189,20,5,receive,373276963,1650226
374927644,12,4,receive,373278229,1649415
374928099,164,1,receive,373272121,1655978
374928558,394,1,receive,373278752,1649806
375168992,82,2,receive,373266117,1902875
375169459,34,5,receive,373244407,1925052
375169917,40,5,receive,373278855,1891062
375170411,230,1,receive,373279031,1891380
375170868,492,1,receive,373279049,1891819
375171335,570,1,receive,373279141,1892194
375171794,36,1,receive,373280391,1891403
375172276,152,2,receive,373281154,1891122
375172734,88,2,receive,373263989,1908745
375173196,52,3,receive,373248117,1925079
375394810,154,1,receive,373286200,2108610
375395286,186,3,receive,373272645,2122641
375395739,196,3,receive,373287096,2108643
375396185,114,3,receive,373287285,2108900
375396635,96,2,receive,373287418,2109217
375397088,76,3,receive,373251724,2145364
375397535,590,3,receive,373289408,2108127
375397989,636,1,receive,373289341,2108648
375398450,778,1,receive,373289648,2108802
375398913,86,1,receive,373290793,2108120
375627926,98,1,receive,373291041,2336885
375628404,868,1,receive,373291114,2337290
375628871,590,4,receive,373292667,2336204
375629336,104,2,receive,373292892,2336444
375629814,90,2,receive,373293038,2336776
