receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
373651328,100,1,receive,373257727,393601
373651780,188,2,receive,373340656,311124
373652209,96,3,receive,373340772,311437
373652625,274,1,receive,373342284,310341
373653041,204,1,receive,373342449,310592
373653462,18,3,receive,373343300,310162
373653876,426,2,receive,373343822,310054
373654304,408,3,receive,373344177,310127
373654721,338,1,receive,373344313,310408
373655137,12,5,receive,373315677,339460
373655552,138,1,receive,373345262,310290
373655970,626,1,receive,373345494,310476
373656391,110,3,receive,373345744,310647
373656805,590,5,receive,373345797,311008
373657219,782,1,receive,373346124,311095
373657649,290,1,receive,373311159,346490
373658066,160,3,receive,373346421,311645
373658484,964,1,receive,373346825,311659
373658899,96,4,receive,373346856,312043
373659326,432,2,receive,373347684,311642
373659741,670,2,receive,373349026,310715
373983639,632,2,receive,373350024,633615
373984153,106,3,receive,373351343,632810
373984543,708,1,receive,373351772,632771
373985012,158,2,receive,373351916,633096
373985465,150,4,receive,373352784,632681
373985919,284,1,receive,373353815,632104
373986362,70,5,receive,373288342,698020
373986808,426,3,receive,373354781,632027
373987263,868,2,receive,373354805,632458
373987936,206,3,receive,373355353,632583
374195660,730,1,receive,373355393,840267
374196264,1000,1,receive,373355649,840615
374196978,382,1,receive,373356097,840881
374197491,320,3,receive,373357048,840443
374198134,80,2,receive,373357455,840679
374198820,36,2,receive,373357977,840843
374553342,56,3,receive,373241375,1311967
374553927,490,1,receive,373358269,1195658
374554410,400,3,receive,373358854,1195556
374554872,554,1,receive,373359320,1195552
374555310,598,1,receive,373359649,1195661
374555778,212,1,receive,373360429,1195349
374556229,104,5,receive,373360476,1195753
374556681,818,2,receive,373360893,1195788
374557127,128,5,receive,373361359,1195768
374557582,764,1,receive,373362713,1194869
374782871,190,1,receive,373362713,1420158
374783315,210,2,receive,373363083,1420232
374783892,230,3,receive,373364522,1419370
374784315,778,4,receive,373364429,1419886
374784809,592,1,receive,373364608,1420201
374785441,488,1,receive,373367149,1418292
374786131,426,4,receive,373367583,1418548
374786644,332,1,receive,373367726,1418918
374787172,354,1,receive,373368455,1418717
374787683,114,5,receive,373368894,1418789
375006535,582,1,receive,373368957,1637578
375007020,86,4,receive,373369044,1637976
375007591,640,1,receive,373369448,1638143
375008058,166,2,receive,373358761,1649297
375008521,300,1,receive,373370044,1638477
375008999,192,1,receive,373370182,1638817
375009497,712,1,receive,373370313,1639184
375009954,486,3,receive,373371338,1638616
375010495,130,3,receive,373309045,1701450
375011128,524,1,receive,373374149,1636979
375242648,130,4,receive,373373933,1868715
375243202,530,1,receive,373374600,1868602
375243667,436,1,receive,373374829,1868838
375244580,130,5,receive,373375029,1869551
375245027,636,2,receive,373376013,1869014
375245482,90,5,receive,373376866,1868616
375245937,508,1,receive,373376887,1869050
375246407,130,6,receive,373376476,1869931
375246861,972,2,receive,373377276,1869585
375478015,426,5,receive,373377644,2100371
375478489,634,3,receive,373378345,2100144
375479089,918,1,receive,373378463,2100626
375479604,618,1,receive,373379066,2100538
375480082,166,3,receive,373380013,2100069
375480546,112,2,receive,373285041,2195505
375481025,8,5,receive,373278178,2202847
375481524,196,6,receive,373381922,2099602
375481992,868,3,receive,373382063,2099929
375482458,90,6,receive,373382316,2100142
375714036,340,1,receive,373296934,2417102
375714512,400,4,receive,373382781,2331731
375715096,432,3,receive,373383008,2332088
375715576,486,4,receive,373383975,2331601
375716045,126,2,receive,373305048,2410997
375716509,222,1,receive,373375932,2340577
375717008,316,1,receive,373386209,2330799
375717418,486,5,receive,373386787,2330631
375717799,730,2,receive,373387278,2330521
375718165,2,5,receive,373273391,2444774
375718530,154,3,receive,373388709,2329821
375944422,734,1,receive,373389539,2554883
375944920,444,1,receive,373334200,2610720
375945480,638,1,receive,373371725,2573755
375946016,436,2,receive,373390018,2555998
375946514,492,2,receive,373390020,2556494
375947204,366,1,receive,373390145,2557059
375947719,618,2,receive,373390437,2557282
375948173,62,4,receive,373250337,2697836
375948629,774,1,receive,373390624,2558005
375949107,756,1,receive,373390885,2558222
376178773,554,2,receive,373391272,2787501
376179250,196,7,receive,373391318,2787932
376179848,678,1,receive,373391717,2788131
376180340,964,2,receive,373391772,2788568
376180816,724,1,receive,373392160,2788656
376181294,64,4,receive,373354344,2826950
376181749,488,2,receive,373393759,2787990
376182266,798,3,receive,373393968,2788298
376182751,320,4,receive,373394395,2788356
376183220,222,2,receive,373395466,2787754
376411512,778,5,receive,373395541,3015971
376412001,778,6,receive,373395881,3016120
376412655,32,3,receive,373285087,3127568
376413164,206,4,receive,373396720,3016444
376413659,336,1,receive,373396941,3016718
376414148,2,6,receive,373393761,3020387
376414628,766,2,receive,373397603,3017025
376415107,352,1,receive,373355333,3059774
376415583,164,2,receive,373287511,3128072
376640677,434,1,receive,373398867,3241810
376641176,804,1,receive,373398932,3242244
376641773,456,2,receive,373399942,3241831
376642241,858,1,receive,373343766,3298475
376642708,612,2,receive,373391742,3250966
376643202,150,5,receive,373400589,3242613
376643662,330,1,receive,373400981,3242681
376644126,560,1,receive,373401198,3242928
376644591,204,2,receive,373401651,3242940
376645086,564,1,receive,373401672,3243414
376884596,222,3,receive,373402437,3482159
376885053,778,7,receive,373402673,3482380
376885610,230,4,receive,373403215,3482395
376886090,586,1,receive,373403229,3482861
376886566,670,3,receive,373403888,3482678
376887044,982,1,receive,373404064,3482980
376887488,592,2,receive,373404299,3483189
376887944,554,3,receive,373404704,3483240
376888389,994,1,receive,373404655,3483734
376888855,634,4,receive,373405133,3483722
377107999,634,5,receive,373405599,3702400
377108737,426,6,receive,373405950,3702787
377109223,964,3,receive,373407361,3701862
377109684,316,2,receive,373407547,3702137
377110141,844,1,receive,373407892,3702249
377110609,586,2,receive,373408806,3701803
377111072,566,1,receive,373360373,3750699
377111528,482,1,receive,373410119,3701409
377111982,370,1,receive,373410438,3701544
377324604,836,1,receive,373411253,3913351
377325075,836,2,receive,373411872,3913203
377325637,54,2,receive,373411868,3913769
377326097,150,6,receive,373412059,3914038
377326551,252,2,receive,373415349,3911202
377327044,312,3,receive,373415998,3911046
377327490,448,2,receive,373327134,4000356
377327938,238,1,receive,373416159,3911779
