timestamp,source_vehicle,message_id,event_type
373527420,702,1,send
373587874,702,2,send
373598882,702,3,send
373623521,702,4,send
373655541,702,5,send
373670543,702,6,send
373723138,702,7,send
373743321,702,8,send
373748467,702,9,send
373797896,702,10,send
373948500,702,11,send
374174469,702,12,send
374415362,702,13,send
374623785,702,14,send
374923936,702,15,send
375136562,702,16,send
375389407,702,17,send
375554928,702,18,send
375813472,702,19,send
376077092,702,20,send
376283806,702,21,send
376539318,702,22,send
376791155,702,23,send
377002986,702,24,send
377220859,702,25,send
377479892,702,26,send
377729177,702,27,send
377910936,702,28,send
378161713,702,29,send
378369706,702,30,send
378581232,702,31,send
378746962,702,32,send
378926581,702,33,send
379076164,702,34,send
379100379,702,35,send
379309407,702,36,send
379481279,702,37,send
379635750,702,38,send
379787343,702,39,send
379930728,702,40,send
380078194,702,41,send
380186332,702,42,send
380368037,702,43,send
380502444,702,44,send
380622936,702,45,send
380730938,702,46,send
380775895,702,47,send
380885057,702,48,send
380985236,702,49,send
381111568,702,50,send
381226689,702,51,send
381364222,702,52,send
381429042,702,53,send
381557507,702,54,send
381634485,702,55,send
381766974,702,56,send
381877031,702,57,send
381924814,702,58,send
382032932,702,59,send
382082809,702,60,send
382172397,702,61,send
382232298,702,62,send
