timestamp,source_vehicle,message_id,event_type
373530052,310,1,send
373700740,310,2,send
373835801,310,3,send
374059506,310,4,send
374292590,310,5,send
374545503,310,6,send
374747019,310,7,send
374961195,310,8,send
375203151,310,9,send
375453216,310,10,send
375664232,310,11,send
375936844,310,12,send
376163631,310,13,send
376390112,310,14,send
376579350,310,15,send
376834073,310,16,send
377021405,310,17,send
377276270,310,18,send
377486932,310,19,send
377749307,310,20,send
377943377,310,21,send
378154895,310,22,send
378384917,310,23,send
378598032,310,24,send
378802112,310,25,send
378966616,310,26,send
379143917,310,27,send
