receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
373348216,86,1,receive,373290793,57423
373348701,98,1,receive,373291041,57660
373349149,868,1,receive,373291114,58035
373349600,590,4,receive,373292667,56933
373350064,104,2,receive,373292892,57172
373351581,90,2,receive,373293038,58543
373351999,778,2,receive,373293094,58905
373352413,432,1,receive,373294811,57602
373352842,68,1,receive,373294917,57925
373353264,346,1,receive,373295462,57802
373353709,320,1,receive,373296620,57089
373354117,108,2,receive,373288603,65514
373354559,84,1,receive,373282609,71950
373354985,302,1,receive,373297189,57796
373355401,84,2,receive,373297268,58133
373355816,612,1,receive,373297315,58501
373356240,150,2,receive,373297382,58858
373356659,974,1,receive,373292613,64046
373357094,674,1,receive,373297959,59135
373357515,106,2,receive,373298141,59374
373357933,778,3,receive,373298369,59564
373358363,104,3,receive,373300144,58219
373358788,98,2,receive,373301015,57773
373359206,152,3,receive,373301213,57993
373359619,384,1,receive,373301901,57718
373817227,86,2,receive,373303095,514132
373817644,448,1,receive,373303372,514272
373818063,486,1,receive,373304542,513521
373818484,42,3,receive,373242320,576164
373818892,426,1,receive,373306585,512307
373819304,160,2,receive,373306687,512617
373819734,634,1,receive,373308105,511629
373820177,408,1,receive,373308867,511310
373820595,870,1,receive,373309486,511109
373821001,210,1,receive,373310039,510962
373821427,26,4,receive,373245006,576421
373821845,114,4,receive,373311673,510172
373822262,64,3,receive,373282318,539944
373822687,30,1,receive,373312619,510068
374104589,196,4,receive,373313394,791195
374105045,408,2,receive,373314436,790609
374105488,974,2,receive,373314787,790701
374105928,140,2,receive,373316070,789858
374106374,104,4,receive,373316474,789900
374106832,184,4,receive,373316662,790170
374107274,166,1,receive,373316885,790389
374107718,128,4,receive,373317077,790641
374108168,790,1,receive,373318464,789704
374108652,798,1,receive,373318566,790086
374358265,50,1,receive,373318434,1039831
374358717,196,5,receive,373318774,1039943
374359171,54,1,receive,373318997,1040174
374359606,18,2,receive,373320016,1039590
374360087,202,3,receive,373294291,1065796
374360537,80,1,receive,373322157,1038380
374361015,86,3,receive,373322441,1038574
374361457,400,1,receive,373323456,1038001
374361912,122,1,receive,373296841,1065071
374362365,158,1,receive,373304081,1058284
374610023,230,2,receive,373326675,1283348
374610498,320,2,receive,373327062,1283436
374610975,98,3,receive,373323391,1287584
374611449,384,2,receive,373330017,1281432
374611919,252,1,receive,373331018,1280901
374612397,634,2,receive,373331441,1280956
374612861,632,1,receive,373332263,1280598
374613319,118,1,receive,373332253,1281066
374613777,6,4,receive,373278304,1335473
374614252,90,3,receive,373332855,1281397
374862799,818,1,receive,373332891,1529908
374863268,90,4,receive,373333221,1530047
374863727,400,2,receive,373333307,1530420
374864179,150,3,receive,373334297,1529882
374864623,44,5,receive,373273715,1590908
374865084,154,2,receive,373334689,1530395
374865548,486,2,receive,373334774,1530774
374865995,758,1,receive,373334743,1531252
374866469,182,3,receive,373296292,1570177
374866934,206,2,receive,373335639,1531295
375092900,972,1,receive,373336349,1756551
375093364,798,2,receive,373336605,1756759
375093832,728,1,receive,373337175,1756657
375094265,152,4,receive,373321810,1772455
375094730,58,4,receive,373280331,1814399
375095212,670,1,receive,373337448,1757764
375095694,132,1,receive,373337427,1758267
375096133,766,1,receive,373337608,1758525
375096546,84,3,receive,373324172,1772374
375097004,312,1,receive,373339142,1757862
375375764,312,2,receive,373339616,2036148
375376226,100,1,receive,373257727,2118499
375376715,96,3,receive,373340772,2035943
375377188,274,1,receive,373342284,2034904
375377645,204,1,receive,373342449,2035196
375378111,188,2,receive,373340656,2037455
375378573,426,2,receive,373343822,2034751
375379042,408,3,receive,373344177,2034865
375379512,338,1,receive,373344313,2035199
375380415,18,3,receive,373343300,2037115
375601995,12,5,receive,373315677,2286318
375602457,138,1,receive,373345262,2257195
375602998,626,1,receive,373345494,2257504
375603485,110,3,receive,373345744,2257741
375604047,590,5,receive,373345797,2258250
375604519,782,1,receive,373346124,2258395
375604984,160,3,receive,373346421,2258563
375605471,290,1,receive,373311159,2294312
375605948,964,1,receive,373346825,2259123
375606404,96,4,receive,373346856,2259548
375825606,432,2,receive,373347684,2477922
375826106,670,2,receive,373349026,2477080
375826602,632,2,receive,373350024,2476578
375827096,106,3,receive,373351343,2475753
375827566,708,1,receive,373351772,2475794
375828048,158,2,receive,373351916,2476132
375828517,150,4,receive,373352784,2475733
375828998,284,1,receive,373353815,2475183
375829465,70,5,receive,373288342,2541123
376054316,426,3,receive,373354781,2699535
376054797,868,2,receive,373354805,2699992
376055263,730,1,receive,373355393,2699870
376055743,206,3,receive,373355353,2700390
376056225,1000,1,receive,373355649,2700576
376056694,382,1,receive,373356097,2700597
376057179,320,3,receive,373357048,2700131
376057652,80,2,receive,373357455,2700197
376058138,36,2,receive,373357977,2700161
376058602,56,3,receive,373241375,2817227
376300011,490,1,receive,373358269,2941742
376300494,400,3,receive,373358854,2941640
376301000,554,1,receive,373359320,2941680
376301484,598,1,receive,373359649,2941835
376301961,212,1,receive,373360429,2941532
376302458,104,5,receive,373360476,2941982
376302931,818,2,receive,373360893,2942038
376303399,128,5,receive,373361359,2942040
376303867,190,1,receive,373362713,2941154
376304345,764,1,receive,373362713,2941632
376546632,210,2,receive,373363083,3183549
376547106,230,3,receive,373364522,3182584
376547575,778,4,receive,373364429,3183146
